#/**
#  *
#  * German message catalog
#  *
#  * GForge
#  * Copyright 1999-2001 (c) VA Linux Systems
#  * Copyright 2003-2004 (c) Marco Schmidt, Lars Ehrhardt
#  * Copyright 2005 (c) Michael Will
#  * http://gforge.org
#  *
#  * @author Matthias Bauer, Marco Schmidt, Lars Ehrhardt, Michael Will
#  *
#  */
#
# ChangeLog:
#
# 2003-11-07  Marco Schmidt
#	* changed translation
# 2004-02-04  Lars Ehrhardt
#   * merged german.tab with base.tab to allow easier editing
#   * added small bits and pieces
#   * added translation for tracker items (not completed)
#   * convert to UTF-8 with: konwert iso1-utf8 German.tab > German_new.tab
#   * convert to UTF-8 with: konwert html-utf8 German.tab > German_new.tab
# 2004-02-06  Lars Ehrhardt
#   * continued with translation -> did some parts of task manager
# 2004-11-04  Tobias Rötschke  <gforge@roetschke.com>
#   * fixed files/forum tab and some corrections
# 2005-01-13  Tobias Rötschke  <gforge@roetschke.com>
#   * corrected submit_new and depend_info
# 2005-11-04	Michael Will <Michael.Will@edag.de>
#   * added more translations (check cvs diff)
artifact_canned	required_fields	ArtifactCanned: Name und Bevollmächtigter werden benötigt
account_lostpw	notify	<p>Es wurde eine EMail an die Adresse gesendet, die Sie bei uns gespeichert haben. Folgen Sie den Anweisungen in dieser EMail, um das Account-Passwort zu ändern.</p><p><a href="/">[ Startseite ]</a></p>
account_lostpw	sendhash	Sende vergessenen Passwort-Hash
account_lostpw	subject	$1 Überprüfung
account_lostpw	user_dont_exist	Dieser Benutzer existiert nicht.
account_lostpw	warn	<p>Hey... wenn Sie Ihr Passwort vergessen, ist das gefährlich. Es kompromittiert die Sicherheit Ihres Accounts bzw. Zugriffskontos, Ihrer Projekte und dieser Seite.</p><p>Wenn Sie unten auf "Sende vergessenen Passwort-Hash" klicken, wird Ihnen per Email ein Link an Ihre bei uns gespeicherte Email-Adresse gesendet. Dieser Link enthält einen 128-bit Bestätigungs-Hash für Ihren Account. Das Besuchen dieses Links wird Ihnen ermöglichen, Ihr Passwort online zu ändern und sich anzumelden.</p>
account_options	address	Adresse:
account_options	ccode	Land:
account_options	change_email_address	Ändere Email-Adresse
account_options	change_password	Ändere Passwort
account_options	edit_skills_profile	Bearbeite mein Qualifikationsprofil
account_options	email_address	Email-Adresse:
account_options	fax	FAX:
account_options	firstname	Vorname:
account_options	language	Sprache:
account_options	lastname	Nachname:
account_options	login_name	Anmelde-Name:
account_options	member_since	Mitglied seit:
account_options	phone	Telefon:
account_options	themeid	Theme-ID:
account_options	timezone	Zeitzone:
account_options	title	Account-Verwaltung
account_options	title2	Titel:
account_options	user_id	Benutzer-ID:
account_options	view_developer_profile	Mein Entwickler-Profil ansehen
account_options	welcome	Willkommen
account_register	ccode	Land:
account_register	communitymail	Erhalte außerplanmäßige Community-Mailings. <i>(Sehr wenige.)</i>
account_register	congrat	<p>Gratulation. Sie haben sich auf $1 registrieren lassen.</p><p> Ihnen wurde eine Bestätigungs-EMail zugesendet, um Ihre EMail-Adresse zu überprüfen. Das Besuchen des Links, der in dieser Email steht, wird Ihren Account aktivieren.
account_register	emailaddr	Email-Adresse:<span><font color="red">*</font></span> <BR><I>Diese Email-Adresse wird überprüft, bevor der Account aktiviert wird. Das wird nicht auf dieser Web-Site angezeigt. Sie werden einen Mail-Weiterleitungs-Account (<anmeldename@$1>) erhalten, der auf diese EMail-Adresse weitergeleitet wird.</i>
account_register	err_badinsert	Eingabe fehlgeschlagen
account_register	err_email	Ungültige Email-Adresse
account_register	err_firstname	Sie müssen einen Vornamen angeben
account_register	err_jabber	Ungültige Jabber-Adresse
account_register	err_lastname	Sie müssen einen Nachnamen angeben
account_register	err_mailexist	Ein Benutzer mit dieser Email-Adresse existiert bereits - benutzen Sie die Personen-Suche,um Ihren Anmeldenamen wiederzufinden.
account_register	err_passwd	Sie müssen ein Passwort eingeben
account_register	err_passwd2	Die Passwörter sind nicht identisch
account_register	err_passwd3	Ungültiges Passwort:
account_register	err_unixname	Ungültiger Unix-Name.
account_register	err_userexist	Dieser Benutzername existiert bereits.
account_register	err_username	Sie müssen einen Benutzernamen eingeben
account_register	firstname	Vorname:
account_register	jabberaddr	Jabber-Adresse:
account_register	jabberonly	Sende automatisch generierte Notizen ausschließlich an meine Jabber-Adresse
account_register	language	Auswahl der Sprache:
account_register	lastname	Nachname:
account_register	loginname	Anmelde-Name (keine Großbuchstaben):
account_register	mandatory	Felder die mit $1 markiert sind, müssen zwingend ausgefüllt werden.
account_register	message_body	Wir danken Ihnen für Ihre Registrierung auf der $4 Web-Seite. Sie haben\n einen Account mit dem Benutzernamen $1 angelegt. Um Ihre\nRegistrierung zu vervollständigen, besuchen Sie bitte den folgenden Link: \n\n<http://$2/account/verify.php?confirm_hash=_$3>\n\n(Falls Sie oben keinen Link sehen, ist möglicherweise Ihr Mailprogramm fehlerhaft.\nKopieren Sie den unten stehenden Link als _eine Zeile_ in die Adressleiste Ihres Browsers.)\n\nhttp://$2/account/verify.php?confirm_hash=_$3\n\nViel Spaß mit der Seite.\n\n-- Die $4 Leitung\n
account_register	message_header	$1 Account-Registrierung
account_register	partecipate_peer_ratings	Sie nehmen am Mitgliederbewertungsverfahren teil. <i>(Es erlaubt Ihnen, andere Benutzer über verschiedene Kriterien zu bewerten, ebenso wie diese Sie bewerten können. Weitere Informationen können Sie auf Ihrer $1 Benutzerseite nachlesen </a>, falls Sie die Teilnahme am Bewertungsverfahren ausgewählt haben)</i>.
account_register	password	Passwort (mind. 6 Buchstaben):
account_register	password2	Passwort (Wiederholung):
account_register	Preferences	Einstellungen
account_register	register	Registrieren
account_register	remember_me	"Meine Anmeldung merken". <i>(Erlaubt, auf Ihre $1 personalisierte Seite zuzugreifen</a> ohne dass Sie  angemeldet sein müssen. Sie müssen sich aber weiterhin explizit anmelden, wenn Sie irgendwelche Änderungen vornehmen wollen.)</i>
account_register	resend_pending	[Sende Bestätigungs-Email zu einem anstehenden Account nochmal]
account_register	reset	Änderungen zurücksetzen
account_register	siteupdate	Erhalte Emails über Seiten-Updates <i>(Sehr sehr wenige und sie enthalten Sicherheitshinweise. Diese Option wird sehr empfohlen.)</i>
account_register	theme	Theme
account_register	timezone	Zeitzone:
account_register	update	Aktualisierung
account_shell	autorized_keys	gemeinsam benutzte, authorisierte CVS/SSH Schlüssel
account_shell	edit_keys	Bearbeite Schlüssel
account_shell	shell_box	Kommandozeilen-Box
account_shell	title	Kommandozeilen-Account Information
account_unsubscribe	all_mailings	alle $1 Mailings und Benachrichtigungen
account_unsubscribe	site_mailings	$1 Web-Seite Mailings
account_verify	accessdenied	Zugriff verweigert
account_verify	accountactive	Der Account wird derzeitig aktiv benutzt.
account_verify	cannotactivate	Konnte den Account nicht aktivieren
account_verify	cannotconfirm	Konnte die Account-Identität nicht bestätigen - ungültiger Passwort-Hash (oder Anmelde-Name)
account_verify	erroractivate	Fehler während der Account-Aktivierung
account_verify	invalidcred	Die Legitimation, die Sie eingegeben haben, passt nicht zu einem gültigen Account.
account_verify	invalidop	Ungültige Operation
account_verify	invalidparam	Ungültiger Parameter
account_verify	login	Anmeldung
account_verify	loginname	Anmelde-Name:
account_verify	missingparam	Fehlende Parameter
account_verify	password	Passwort:
account_verify	usermandatory	Sie müssen einen Benutzernamen eingeben.
account_verify	verify_blurb	<p>Melden Sie sich jetzt an, um Ihre Registrierung zu vervollständigen. Ihr Account wird dann für normale Anmeldungen aktiviert sein.</p>
add_snippet	add_this_snippet_version_id	Füge diese Code-Schnipsel Version (ID) hinzu:
add_snippet	back_to_add_page	Zurück zur "Hinzufügen"-Seite
add_snippet	error_doing_snippet_version_insert	FEHLER BEIM CODE-STÜCK EINFÜGEN!
add_snippet	error_go_back_and_fill_all	Fehler - Gehen Sie zurück und füllen Sie alle Informationsfelder aus
add_snippet	error_only_creator_can_add	Fehler - Nur der Ersteller einer Paket-Version kann Code-Stücke dort hinzufügen.
add_snippet	error_snippet_already_added	Fehler - Dieses Schnipsel wurde diesem Paket schon hinzugefügt.
add_snippet	error_snippet_doesnt_exist	Fehler - Dieses Schnipsel existiert nicht.
add_snippet	error_snippet_id_missing	Fehler - snippet_package_version_id fehlt (Schnipsel ID)
add_snippet	make_sure_all_info	Stellen Sie sicher, dass alle Informationen vollständig und richtig sind.
add_snippet	no_snippets_in_this_package	In diesem Paket sind zur Zeit noch keine Code-Schnipsel
add_snippet	package	Paket:
add_snippet	snippets_in_this_package	Code-Schnipsel in diesem Paket
add_snippet	snippet_version_added_successfully	Schnipsel-Version erfolgreich hinzugefügt.
add_snippet	submit	ABSCHICKEN
add_snippet	title	Schicke einen neuen Code-Schnipsel
add_snippet	you_can_use_this_form	Sie können dieses Formular mehrfach benutzen, um Code-Schnipsel zu Ihrem Paket hinzuzufügen.</p><p>Die "Schnipsel Version ID" ist die eindeutige ID-Nummer, die direkt neben einer bestimmten Version eines Schnipsels auf der Web-Seite angezeigt wird.
admin	add	Hinzufügen
admin	delete	Löschen
admin	edit	Bearbeiten
admin	home_box	Home Box:
admin	http_domain	HTTP Domäne:
admin	license	Lizenz:
admin	license_other	andere Lizenz:
admin	reject	Ablehnen
admin	scm_box	SCM Box:
admin	yes	Ja
admin_admin_table	add_new	Neuen hinzufügen
admin_admin_table	cant_delete_language	Sie können die Sprache $1 nicht löschen, weil sie zur Zeit in einem Benutzerprofil referenziert wird.
admin_admin_table	cant_delete_license	Sie können die Lizenz $1 nicht löschen, weil sie zur Zeit in einem Projekt referenziert wird.
admin_admin_table	cant_delete_processor	Sie können den Prozessor $1 nicht löschen, solange er momentan von einer freigegebenen Datei referenziert wird.
admin_admin_table	create_new_below	Erzeuge unten ein(e) neue(s) $1:
admin_admin_table	delete_confirm	Sind Sie sicher, dass Sie $1 löschen wollen?
admin_admin_table	modify_below	Modifizieren Sie $1 unten:
admin_admin_table	site_admin_home	Seite Admin-Home
admin_admin_table	successfully_added	$1 erfolgreich hinzugefügt.
admin_admin_table	successfully_deleted	$1 erfolgreich gelöscht.
admin_admin_table	successfully_modified	$1 erfolgreich modifiziert.
admin_admin_table	title	Editieren Sie die $1s Tabelle
admin_approve_pending	add_this_custom_response	Füge diese spezifische Antwort zu den gespeicherten Antworten hinzu.
admin_approve_pending	approve	Genehmigen
admin_approve_pending	approve_all_on_this_page	Alles auf dieser Seite genehmigen
admin_approve_pending	approving_group	Genehmigungsgruppe:
admin_approve_pending	approving_pending_projects	Anstehende Projekte genehmigen
admin_approve_pending	canned_responses	Vorgespeicherte Antworten
admin_approve_pending	custom_response_title	Bearbeite Antwort-Titel und -Text
admin_approve_pending	edit_project_details	[Bearbeite Projekt-Details]
admin_approve_pending	error_creating_group	Fehler beim Erstellen des Gruppen-Objektes
admin_approve_pending	error_group_rejection	Fehler beim Ablehnen der Gruppe
admin_approve_pending	home_box	Home-Bereich:
admin_approve_pending	manage_responses	(Antworten verwalten)
admin_approve_pending	none_found	Keine gefunden
admin_approve_pending	no_pending_projects_to_approve	Es sind keine anstehenden Projekte zu genehmigen.
admin_approve_pending	other_information	Weitere Informationen
admin_approve_pending	pending_projects	Anstehende Projekte:
admin_approve_pending	pending_reason	Wartegrund:
admin_approve_pending	project_admin	[Projekt-Admin]
admin_approve_pending	submitted_description	Eingegebene Beschreibung:
admin_approve_pending	unix_group_name	Unix-Gruppen-Name:
admin_approve_pending	view_edit_project_members	[Zeige/Bearbeite Projekt-Mitglieder]
admin_database	add_an_already_active_database	Füge eine bereits aktive Datenbank hinzu
admin_database	added_already_active_database	bereits aktive Datenbank hinzugefügt
admin_database	count	Anzahl
admin_database	display_database_type	Zeige Datenbanken vom Typ:
admin_database	error_adding_database	Fehler beim Hinzufügen der Datenbank
admin_database	group	Gruppe
admin_database	group_unix_name	Unix-Gruppen-Name:
admin_database	no_databases_defined	Keine Datenbanken definiert
admin_database	site_admin_groups_maintance	Seite Administrator: Gruppen-DB Verwaltung
admin_database	statistics_for_project_database	Statistiken für Projekt-Datenbanken
admin_database	type	Typ
admin_database	unable_to_insert	Es war nicht möglich, die bereits aktive Datenbank einzufügen.
admin_groupedit	active	Aktiv (A)
admin_groupedit	holding	Haltend (H)
admin_groupedit	incomplete	Unvollständig (I)
admin_groupedit	instruction_email_sent	Email mit Anweisungen abgeschickt
admin_groupedit	new_project_instruction_email	Sende neue Email mit Projekt-Anweisungen nocheinmal 
admin_groupedit	no	Nein
admin_groupedit	pending	Schwebend (P)
admin_groupedit	project_admin	[Projekt-Admin]
admin_groupedit	public	Öffentlich?
admin_groupedit	registration_application	Projektbeschreibung:
admin_groupedit	status	Status
admin_groupedit	title	Seite Administrator: Gruppen-Informationen
admin_groupedit	unix_group_name	Unix-Gruppen-Name:
admin_groupedit	update	Aktualisieren
admin_groupedit	updated	Aktualisiert
admin_groupedit	yes	Ja
admin_grouplist	group_list	Gruppenliste
admin_grouplist	group_list_for_category	Gruppenliste für die Kategorie:
admin_grouplist	group_name_click_to_edit	Gruppen-Name (anklicken zum Bearbeiten)
admin_grouplist	groups_that_begin_with	Gruppen, die anfangen mit
admin_grouplist	license	Lizenz
admin_grouplist	members	Mitglieder
admin_grouplist	public	Öffentlich?
admin_grouplist	register_time	Registrierungszeit
admin_grouplist	status	Status
admin_grouplist	unix_name	Unix-Name
admin_index	active_projects_count	Aktive Projekte: <strong>$1</strong>
admin_index	active_users_count	Aktive Seitenbenutzer: <strong>$1</strong>
admin_index	add_delete_edit_file_types	Hinzufügen, Löschen, oder Bearbeiten von Dateitypen
admin_index	add_delete_edit_laguage	Hinzufügen, Löschen, oder Bearbeiten von unterstützten Sprachen
admin_index	add_edit_delete_licenses	Hinzufügen, löschen, oder Editieren der Lizenzen
admin_index	add_edit_delete_processors	Hinzufügen, Löschen, oder Bearbeiten von Prozessoren
admin_index	add_edit_delete_themes	Hinzufügen, Löschen, oder Bearbeiten von Site-Designs
admin_index	add_to_trove_map	Füge neue Kategorie zur Projekt-Karte hinzu
admin_index	approve_reject	Genehmigen/Ablehnen
admin_index	cronman	Cron-Manager
admin_index	display_full_group	Zeige vollständige Gruppenliste/Bearbeite Gruppen
admin_index	display_full_user_list	Zeige vollständige Benutzerliste/Bearbeite Benutzer
admin_index	display_groups_beginning_with	Zeige Gruppen, die anfangen mit :
admin_index	display_trove_map	Zeige generierte Projekt-Karte
admin_index	display_user_beginning_with	Zeige Benutzer, die anfangen mit :
admin_index	front_page_news	von Titelseiten Neuigkeiten
admin_index	get	abrufen
admin_index	group_maintaince	Gruppen-Verwaltung
admin_index	groups_with_status	Gruppen mit Status:
admin_index	mail_engine	Mailserver-Formular (Engine) für $1-Abonnenten
admin_index	new_project_approval	(Neue Projekte genehmigen)
admin_index	news	Neuigkeiten
admin_index	pending_projects_count	 Anstehende Projekte: <strong>$1</strong>
admin_index	private_groups	Private Gruppen
admin_index	project_active	Aktiv (A)
admin_index	project_database_administration	Projekt-Datenbank Administration
admin_index	project_hold	Halten (H)
admin_index	project_pending	Anstehend (P)
admin_index	recent_logins	Letzte Logins/Anmeldungen
admin_index	registered_projects_count	Registrierte Projekte: <strong>$1</strong>
admin_index	register_new_project	Registriere neues Projekt
admin_index	search_groups	Suchen <em>(Gruppen-ID, Unix-Gruppen-Name, vollständiger Name)</em>
admin_index	search_users	Suchen <em>(Benutzer-ID, Benutzername, wirklicher Name, Email)</em>
admin_index	site_mailing_maintaince	Seiten-Mailinglisten Verwaltung
admin_index	site_utilities	Seiten-Hilfsprogramme
admin_index	site_wide_stats	Seiten-weite Statistiken
admin_index	stats	Statistiken
admin_index	title	Seiten Administration
admin_index	translation_file_tool	Übersetzungswerkzeug
admin_index	trove_project_tree	gefundene Projektbaumstruktur 
admin_index	user_maintaince	Benutzerverwaltung
admin_index	virtual_host_admin_tool	Administrations-Werkzeug für virtuelle Hosts
admin_massmail	active_deliveries	Aktive Mailjobs
admin_massmail	all_project_admins	Alle Projekt-Admins
admin_massmail	all_project_developers	Alle Projekt-Entwickler
admin_massmail	all_users	Alle Benutzer
admin_massmail	be_verry_carefull	Seien Sie <span style="color:red"><strong>SEHR</strong></span> vorsichtig mit diesem Formular, weil durch das Abschicken vielen Benutzern eine Email gesendet wird.
admin_massmail	date	Datum
admin_massmail	developers_test	Entwickler (test)
admin_massmail	error_scheduling_mailing	Fehler beim Vorbereiten des Mailings. Konnte Mailing nicht vorbereiten, Datenbankfehler:
admin_massmail	id	ID
admin_massmail	last_user_id_mailed	zuletzt angemailte user_id
admin_massmail	mail_engine_for	Mailserver-Formular (Engine) für $1 Abonnenten
admin_massmail	mailing_successfully_scheduled	Mailing erfolgreich für Auslieferung vorbereitet
admin_massmail	missing_parameter_empty_message	Parameter fehlt. Sie versuchen, eine leere Nachricht zu verschicken.
admin_massmail	missing_parameter_proper_subject	Parameter fehlt. Sie müssen dem Mailing einen passenden Betreff geben.
admin_massmail	missing_parameter_select_target	Parameter fehlt. Sie müssen einen Empfängerkreis für das Mailing auswählen.
admin_massmail	schedule_for_mailing	Vorbereiten zum Abschicken
admin_massmail	select	(auswählen)
admin_massmail	subject	Betreff
admin_massmail	subscribers_to_additional_community	Abonnenten von "zusätzlichen Community-Mailings"
admin_massmail	subscribers_to_site_updates	Abonnenten von "Site Updates"
admin_massmail	text_of_message	Text der Nachricht
admin_massmail	type	Typ
admin_massmail	will_be_append	(gegebenenfalls wird eine Information zum Abmelden angehängt)
admin_responses	add_response	Antwort hinzugefügt
admin_responses	by_the_way	Nebenbei, ich habe es nicht gelöscht... für alle Fälle...
admin_responses	create	Erstellen
admin_responses	create_new_response	Erstelle neue Antworten:
admin_responses	deleted_resposes	Gelöschte Antworten
admin_responses	edit_response	Bearbeitete Antwort
admin_responses	edit_response_other	Bearbeitete Antwort
admin_responses	existing_responses	Existierende Antworten:
admin_responses	go	Los!
admin_responses	not_sure_dont_click	Wenn Sie nicht sicher sind, warum haben Sie dann 'Löschen' angeklickt?
admin_responses	response_text	Antwort-Text:
admin_responses	response_title	Antwort-Titel:
admin_responses	title	Seite Administrator: Bearbeite Ablehnungs-Antworten
admin_responses	yes_im_sure	Ja, ich bin mir sicher
admin_responses	you_cant	Sie können nicht $1 "Keine"!
admin_search	email	E-Mail
admin_search	full_name	Voller Name
admin_search	group_search_criteria	Gruppen-Suche mit Kriterien
admin_search	id	ID
admin_search	index	Admin Such-Ergebnisse
admin_search	matches	Übereinstimmungen
admin_search	member_since	Mitglied seit
admin_search	real_name	Realer Name
admin_search	refusing_to_display_whole_db	Das Anzeigen der gesamten DB wird abgelehnt. Dies würde die gesamte Datenbank anzeigen.  Bitte benutzen Sie eine CLI-Abfrage, wenn Sie das tun wollen.
admin_search	registered	Registrierung
admin_search	status	Status
admin_search	unix_name	UNIX Name
admin_search	username	Benutzername
admin_search	user_search_criteria	Benutzer-Suche mit Kriterien
admin_trove_cat_add	add	Hinzufügen
admin_trove_cat_add	add_new_trove_category	Füge neue Projekt-Kategorie hinzu
admin_trove_cat_add	error_in_trove_openration	Fehler bei Operation im Projekt-Katalog
admin_trove_cat_add	new_category_description	Beschreibung der neuen Kategorie (VARCHAR 255)
