#/** -*- coding: utf-8 -*-
#  *
#  * Italian Message catalog
#  *
#  *
#  * @version   $Id$
#  *
#  * Changelog:
#  * 2002-12-15 rspisser <reinhard@spisser.it>
#  *           Translation from Base.tab
#  * 2003-01-04 rspisser <reinhard@spisser.it>
#  *           removed all not used entries
#  * 2003-01-17 rspisser <reinhard@spisser.it>
#  *           adding localization strings for forums
#  * 2003-01-21 rspisser <reinhard@spisser.it>
#  *           adding localization strings for my, diary, project_homepage
#  * 2003-01-25 rspisser <reinhard@spisser.it>
#  *           adding localization strings for pm
#  * 2003-02-04 rspisser <reinhard@spisser.it>
#  *           localization of the tracker
#  * 2003-11-13 rspisser <reinhard@spisser.it>
#  *            removed double strings, removed not translated strings,
#  * 2004-03-05 Lele Gaifax <lele@nautilus.homeip.net>
#  *            revisited and synced with Base.
#  * 2006-02-22 rspisser <reinhard@spisser.it>
#  *            synced with Base.tab
#  * 2006-05-02 rspisser <reinhard@spisser.it>
#  *            moved style information to .css file
#
#  **/
#

		account	title	Preferenze account
add_snippet	make_sure_all_info	Assicurati che tutte le informazioni siano accurate e complete
add_snippet	no_snippets_in_this_package	Non c'è ancora nessun frammento in questo package
add_snippet	package	Pacchetto:
add_snippet	snippets_in_this_package	Frammenti presenti nel pacchetto
add_snippet	snippet_version_added_successfully	Versione del frammento inserita con successo
add_snippet	submit	Invia
add_snippet	title	Inserisci un nuovo frammento
add_snippet	you_can_use_this_form	Puoi usare questo modulo ripetutamente per aggiungere frammenti al package.</p><p>Il campo "Id versione frammento" è l'ID univoco del frammento che viene mostrato di fianco alla sua versione specifica, nelle pagine di consultazione.
admin	add	Aggiungi
admin	delete	Rimuovi
admin	edit	Modifica
admin	home_box	Server per le Homepage:
admin	http_domain	Dominio HTTP:
admin	license	Licenza:
admin	license_other	Altra licenza:
admin	reject	Rigetta
admin	scm_box	Server per SCM:
admin	scm_box_empty	Il parametro Server SCM è obbligatorio
admin	yes	si
admin_admin_table	add_new	aggiungi nuovo
admin_admin_table	cant_delete_language	Non è possibile rimuovere la lingua $1 poiché è utilizzata da un profilo utente.
admin_admin_table	cant_delete_license	Non è possibile rimuovere la licenza $1 poiché è utilizzata da un progetto.
admin_admin_table	cant_delete_processor	Non è possibile rimuovere il processore $1 poiché è utilizzato in un rilascio file.
admin_admin_table	create_new_below	Crea un nuovo $1:
admin_admin_table	delete_confirm	Sei sicuro di voler rimuovere il $1?
admin_admin_table	modify_below	Modifica il $1:
admin_admin_table	site_admin_home	Homepage amministrazione Sito
admin_admin_table	successfully_added	$1 aggiunto.
admin_admin_table	successfully_deleted	$1 rimosso.
admin_admin_table	successfully_modified	$1 modificato.
admin_admin_table	title	Modifica la tabella $1s
admin_approve_pending	add_this_custom_response	Aggiungi questa risposta alle risposte predefinite
admin_approve_pending	approve	Approva
admin_approve_pending	approve_all_on_this_page	Approva tutto
admin_approve_pending	approving_group	Approvazione Progetto:
admin_approve_pending	approving_pending_projects	Approvazione nuovi progetti
admin_approve_pending	canned_responses	Risposte predefinite
admin_approve_pending	custom_response_title	Risposte: titolo e testo
admin_approve_pending	edit_project_details	[Modifica dettaglio progetto]
admin_approve_pending	error_creating_group	Errore nella creazione  del progetto 
admin_approve_pending	error_group_rejection	Errore durante la fase di rigetto del progetto
admin_approve_pending	home_box	Server homepage:
admin_approve_pending	manage_responses	(gestisci risposte predefinite)
admin_approve_pending	none_found	Nessun progetto trovato
admin_approve_pending	no_pending_projects_to_approve	Non ci sono progetti in attesa di approvazione
admin_approve_pending	other_information	Altre informazioni
admin_approve_pending	pending_projects	Progetti in attesa di approvazione:
admin_approve_pending	pending_reason	Ragioni per l'attesa:
admin_approve_pending	project_admin	Amministrazione progetti
admin_approve_pending	submitted_description	Descrizione:
admin_approve_pending	unix_group_name	Nome unix del progetto:
admin_approve_pending	view_edit_project_members	[Visualizza/modifica membri progetto]
admin_database	add_an_already_active_database	Aggiungi un database già attivo
admin_database	added_already_active_database	aggiunto database già attivo
admin_database	count	Numero
admin_database	display_database_type	Visualizzazione di database del tipo:
admin_database	error_adding_database	Errore nell'aggiunta del database
admin_database	group	Progetto
admin_database	group_unix_name	Nome unix del progetto:
admin_database	no_databases_defined	Nessun database definito
admin_database	site_admin_groups_maintance	Amm. sito: Gestione database dei progetti 
admin_database	statistics_for_project_database	Statistiche dei database dei progetti
admin_database	type	Tipo
admin_database	unable_to_insert	Impossibile inserire un database già attivo
admin_groupdelete	delete	Conferma rimozione
admin_groupdelete	permanentlydelete	Rimuovi in modo permanente
admin_groupdelete	permanentlydeleteproject	Rimuovi il progetto in modo permanente e irrimediabile
admin_groupdelete	title	Rimuovi il progetto in modo permanente
admin_groupedit	active	Attivo (A)
admin_groupedit	holding	Non attivo (H)
admin_groupedit	incomplete	Incompleto (I)
admin_groupedit	instruction_email_sent	Inviata email di istruzioni
admin_groupedit	new_project_instruction_email	Reinvia email con istruzioni per il nuovo progetto
admin_groupedit	no	No
admin_groupedit	pending	In attesa di approvazione (P)
admin_groupedit	project_admin	[Amministrazione progetto]
admin_groupedit	public	Pubblico?
admin_groupedit	registration_application	Registrazione applicazione:
admin_groupedit	status	Stato
admin_groupedit	title	Site Admin: Group Info
admin_groupedit	unix_group_name	Nome unix del progetto:
admin_groupedit	update	Aggiorna
admin_groupedit	updated	Aggiornato
admin_groupedit	yes	Si
admin_grouplist	group_list	Elenco progetti
admin_grouplist	group_list_for_category	Elenco progetti per la categoria:
admin_grouplist	group_name_click_to_edit	Nome progetti (selezionare il nome per modificare)
admin_grouplist	groups_that_begin_with	Progetti che iniziano per
admin_grouplist	license	Licenza
admin_grouplist	members	Membri
admin_grouplist	public	Pubblico?
admin_grouplist	register_time	Ora di registrazione
admin_grouplist	status	Stato
admin_grouplist	unix_name	Nome unix
admin_index	active_projects_count	Progetti attivi: <strong>$1</strong>
admin_index	active_users_count	Utenti attivi: <strong>$1</strong>
admin_index	add_delete_edit_file_types	Gestione tipi file
admin_index	add_delete_edit_laguage	Gestione lingue supportate
admin_index	add_edit_delete_licenses	Gestione licenze
admin_index	add_edit_delete_processors	Gestione processori
admin_index	add_edit_delete_themes	Gestione temi
admin_index	add_to_trove_map	Aggiungi alla mappa Trove
admin_index	approve_reject	Approva/rigetta
admin_index	configman	Gestione configurazioni
admin_index	cronman	Cron Manager
admin_index	display_full_group	Visualizza elenco completo dei progetti
admin_index	display_full_user_list	Visualizza elenco completo degli utenti
admin_index	display_groups_beginning_with	Visualizza progetti che iniziano con:
admin_index	display_trove_map	Gestione mappa Trove
admin_index	display_user_beginning_with	Visualizza utenti che iniziano con:
admin_index	front_page_news	Notizie in prima pagina
admin_index	get	visualizza
admin_index	group_maintaince	Manutenzione progetti
admin_index	groups_with_status	Progetti con stato
admin_index	mail_engine	Engine di mail per utenti sottoscritti a $1
admin_index	new_project_approval	(Approvazione nuovi progetti)
admin_index	news	Notizie
admin_index	pending_projects_count	Progetti in attesa di approvazione: <strong>$1</strong>
admin_index	pluginman	Gestione plugin
admin_index	private_groups	Progetti privati
admin_index	project_active	Attivi (A)
admin_index	project_database_administration	Amministrazione database per i progetti
admin_index	project_hold	Sospeso(H)
admin_index	project_pending	In attesa di approvazione (P)
admin_index	recent_logins	Ultimi login
admin_index	registered_projects_count	Progetti registrati: <strong>$1</strong>
admin_index	register_new_project	Registra nuovo progetto
admin_index	register_new_user	Registra un nuovo utente
admin_index	search_groups	Ricerca <em>(id progetto, nome gruppo unix, nome completo)</em>
admin_index	search_users	Ricerca <em>(id utente, nome utente, nome completo, email)</em>
admin_index	site_mailing_maintaince	Gestione Mailing-list del sito
admin_index	site_utilities	Utility
admin_index	site_wide_stats	Statistiche del sito
admin_index	stats	Statistiche
admin_index	title	Amministrazione sito
admin_index	translation_file_tool	Strumento per la traduzione
admin_index	trove_project_tree	Albero dei progetti Trove
admin_index	user_maintaince	Manutenzione utenti
admin_index	virtual_host_admin_tool	Gestione virtual host
admin_massmail	active_deliveries	Esecuzioni attive
admin_massmail	all_project_admins	Tutti gli amministratori del progetto
admin_massmail	all_project_developers	Tutti gli sviluppatori del progetto
admin_massmail	all_users	Tutti gli utenti
admin_massmail	be_verry_carefull	Presta <span class="important">estrema</span> attenzione nell'utilizzare questo modulo, perchè confermandolo SPEDIRAI un messaggio a un sacco di utenti.
admin_massmail	date	Data
admin_massmail	developers_test	Sviluppatori (test)
admin_massmail	error_scheduling_mailing	Errore nella schedulazione della posta. Errore nel database.
admin_massmail	id	ID
admin_massmail	last_user_id_mailed	Ultimo user_id al quale è stata inviata la mail
admin_massmail	mail_engine_for	Motore di mail per gli abbonati a $1
admin_massmail	mailing_successfully_scheduled	Invio e-mail schedulata con successo
admin_massmail	missing_parameter_empty_message	Parametro mancante, stai cercando di spedire un messaggio vuoto
admin_massmail	missing_parameter_proper_subject	Parametro mancante, devi specificare un oggetto adeguato per il messaggio
admin_massmail	missing_parameter_select_target	Parametro mancante, non è stato selezionato un destinatario
admin_massmail	schedule_for_mailing	Schedula per invio
admin_massmail	select	(seleziona)
admin_massmail	subject	Oggetto
admin_massmail	subscribers_to_additional_community	Iscritti a "Notifiche aggiuntivi di comunità"
admin_massmail	subscribers_to_site_updates	Iscritti a "Aggiornamenti sito"
admin_massmail	text_of_message	Testo del messaggio
admin_massmail	type	Tipo
admin_massmail	will_be_append	(sarà aggiunta informazione su come disiscriversi, se applicabile).
admin_responses	add_response	Risposta aggiunta
admin_responses	by_the_way	A proposito, non ho rimosso... nel caso tu avessi cambiato idea.
admin_responses	create	Crea
admin_responses	create_new_response	Crea nuova risposta:
admin_responses	deleted_resposes	Risposta rimossa 
admin_responses	edit_response	Risposta modificata
admin_responses	edit_response_other	Modifica risposta:
admin_responses	existing_responses	Risposte esistenti:
admin_responses	go	vai
admin_responses	not_sure_dont_click	Se non eri sicuro perché hai cliccato su Rimuovi?
admin_responses	response_text	Testo risposta:
admin_responses	response_title	Titolo risposta:
admin_responses	title	Amministrazione sito: Modifica risposte per il rigetto
admin_responses	yes_im_sure	Si, sono sicuro
admin_responses	you_cant	Non puoi $1 \"Nessuno\"
admin_search	email	Email
admin_search	full_name	Nome completo
admin_search	group_search_criteria	Ricerca progetto con criterio
admin_search	id	ID
admin_search	index	Risultati della ricerca
admin_search	matches	corrispondenze
admin_search	member_since	Registrato il
admin_search	real_name	Nome reale
admin_search	refusing_to_display_whole_db	Mi rifiuto di visualizzare l'intero database. Usa una query CLI per farlo.
admin_search	registered	Registrato
admin_search	status	Stato
admin_search	unix_name	Nome UNIX
admin_search	username	Nome utente
admin_search	user_search_criteria	Ricerca utente con criterio
admin_trove_cat_add	add	Aggiungi
admin_trove_cat_add	add_new_trove_category	Aggiungi nuova categoria Trove
admin_trove_cat_add	error_in_trove_openration	Errore in operazione Trove
admin_trove_cat_add	new_category_description	Descrizione nuova categoria (VARCHAR 255)
admin_trove_cat_add	new_category_full_name	Nome completo nuova categoria (VARCHAR 80)
admin_trove_cat_add	new_category_short_name	Nome corto nuova categoria (nessuno spazio, simili ai nomi unix)
admin_trove_cat_add	parent_category	Categoria superiore
admin_trove_cat_add	title	Amm. sito: Trove - modifica categoria
admin_trove_cat_edit	cant_delete_has_subcategories	Impossibile rimuovere la categoria Trove: ha delle sottocategorie
admin_trove_cat_edit	delete	Rimuovi
admin_trove_cat_edit	edit_trove_category	Modifica categoria Trove
admin_trove_cat_edit	error_in_trove_operation	Errore in una operazione Trove
admin_trove_cat_edit	error_in_trove_operation_cant_delete	Errore in una operazione Trove, non posso rimuovere una categoria definita come default nel file local.inc
admin_trove_cat_edit	new_category_description	Descrizione nuova categoria (VARCHAR 255)
admin_trove_cat_edit	new_category_full_name	Nome completo (VARCHAR 80)
admin_trove_cat_edit	new_category_short_name	Nome breve (no spazi, tipo unix)
admin_trove_cat_edit	no_such_category	Categoria Trove non esistente
admin_trove_cat_edit	parent_category	Categoria superiore:
admin_trove_cat_edit	title	Site Admin: Trove - Modifica categoria
admin_trove_cat_edit	update	Aggiorna
admin_trove_cat_list	add	Aggiungi
admin_trove_cat_list	browse_trove_tree	Consulta albero Trove
admin_trove_cat_list	edit	Modifica
admin_trove_cat_list	title	Amm. sito: Trove - Lista delle categorie
admin_unsubscribe	admin_initiaded_mail	Mailing iniziati da amministratori
admin_unsubscribe	all	TUTTE
admin_unsubscribe	all_site_mailing	Tutte le liste
admin_unsubscribe	comm_mail	Mail commerciale
admin_unsubscribe	email	Email
admin_unsubscribe	error_unsubscribe_user	Errore, impossibile annullare l'abbonamento dell'utente:
admin_unsubscribe	mail	MAIL
admin_unsubscribe	real_name	Nome
admin_unsubscribe	show_user_matching	Visualizza utenti che soddisfano il prototipo
admin_unsubscribe	site_mail	Mail sito
admin_unsubscribe	subscription_maintance	Manutenzione abbonamenti alle liste di mail del sito
admin_unsubscribe	title	Manutenzione degli abbonamenti alle liste di mail del sito
admin_unsubscribe	unsubscribe	Disdici abbonamento
admin_unsubscribe	unsubscribe_user	Disdici abbonamento di:
admin_unsubscribe	use_fields_bellow	Utilizza il campo qui sotto per cercare quei utenti che contengano il valore specificato nel login, nel nome o nell'indirizzo email (viene effettuata una ricerca della sottostringa, puoi usare il carattere '%' per indicare zero o più caratteri arbitrari). Clicca sul nome per disdire l'abbonamento dell'utente alle liste di mail del sito (ti verrà proposto un ulteriore modulo).
admin_unsubscribe	user_id	Id utente
admin_unsubscribe	username	Utente
admin_unsubscribe	user_unsubscribed	L'abbonamento dell'utente è stato disdetto
admin_unsubscribe	you_can_unsubscribe	Puoi disdire sia l'abbonamento alle liste di mail relative alle comunicazioni amministrative sia in generale da tutte le liste del sito (cioè anche per quelle automatiche, come i forum e le notifiche di nuovi rilasci di file).
admin_useredit	account_info	Informazione account
admin_useredit	active	Attivo (A)
admin_useredit	could_not_complete_operation	Impossibile completare l'operazione
admin_useredit	current_confirm_bash	Codice hash di conferma:
admin_useredit	delete	Rimuovi
admin_useredit	deleted	Rimosso (D)
admin_useredit	delete_user_confirm	Voglio rimuovere questo utente
admin_useredit	email	Email:
admin_useredit	group_memerbership	Gruppi di appartenenza
admin_useredit	name	Nome
admin_useredit	no_unix_account	Nessun account UNIX (N)
admin_useredit	operations	Operazioni
admin_useredit	pending	In attesa di approvazione (P)
admin_useredit	project_admin	Amministrazione progetto
admin_useredit	real_name	Nome reale
admin_useredit	suspended	Sospeso (S)
admin_useredit	this_page_allows	Questa pagina permette di cambiare solo attributi diretti di un utente. Per modificare le informazioni dell'utente relative a un particolare progetto, visita la pagina di amministrazione del progetto in questione (vedi sotto).
admin_useredit	title	Amm. sito: informazione utente
admin_useredit	unix_account_status	Stato account Unix
admin_useredit	unix_name	Nome unix
admin_useredit	unix_shell	Shell unix:
admin_useredit	unix_status_updated_mirroring	L'attivazione dell'account Unix è legato a quella dell'account web, a meno che non sia impostato a 'Nessun account UNIX (N)'
admin_useredit	update	Aggiorna
admin_useredit	updated	Aggiornato
admin_useredit	user_id	ID Utente:
admin_useredit	user_name	Nome utente:
admin_useredit	web_account_status	Stato account Web
admin_userlist	activate	Attiva
admin_userlist	active	Attivo
admin_userlist	add_date	Data inserimento
admin_userlist	all_groups	Tutti i progetti
admin_userlist	delete	Rimuovi
admin_userlist	deleted	Rimosso
admin_userlist	devprofile	Profilo sviluppatore
admin_userlist	key	Chiave
admin_userlist	login	Login
admin_userlist	pending	(*)In attesa di approvazione
admin_userlist	submit	Invia
admin_userlist	suspend	Sospendi
admin_userlist	suspended	Sospeso
admin_userlist	userlist	: Elenco utenti
admin_userlist	user_list_for_group	Elenco utenti del progetto:
admin_userlist	user_updated	Utente aggiornato allo stato $1
