#/**
#  *
#  * Bulgarian message catalog
#  *
#  * GForge: Breaking Down the Barriers to Open Source Development
#  * Copyright 1999-2001 (c) VA Linux Systems
#  * http://sourceforge.net
#  *
#  * @version   $Id$
#  * @author Delyan Toshev
#  *
#  */
#
# ChangeLog:
#
# 2000-10-14  Delyan Toshev
#	* Initial translation
#
#reporting       feature_req     Feature Reqs

home	breaking_down_barriers	Да премахнем пречките пред разработването на софтуер с отворен код
home	highest_ranked_users	Най-популярни потребители
home	about_blurb	  GForge е <B>безплатна услуга за разработващите софтуер с  <A href="http://www.opensource.org">отворен код</A></B>,  предлагаща лесен достъп до най-доброто от SCM, дискусионни форуми,  проследяване на грешки, управление на задачи,  безплатно уеб пространство, постоянно архивиране на файловете,  пълно резервно подсигуряване на проекта,  и напълно уеб базирано администриране. <BR> &nbsp; <P> <B>Включване и обратна връзка</B> <P> За да може да използвате най-ефективно GForge, ще трябва да се  <A href="/account/register.php">регистрирате</A> като потребител.  Това ще ви позволи да участвате напълно във всичко, което предлагаме.  Разбира се, можете да разглеждате всичко и без регистриране, но така ще  се лишите от възможността за пълно включване в различните услуги. <P> &nbsp; <BR> <B>Създайте свой проект</B> <P> <A href="/account/register.php">Регистрирайте се като потребител</A>,  след което <A HREF="/account/login.php">влезте</A> в своят акаунт и накрая  <A HREF="/register/">регистрирайте вашият проект.</A> <P> Благодарим ви... и приятно ползване на услугите ни.
home	recently_registered	Скоро регистрирани проекти
home	no_stats_available	Няма статистика
home	hosted_projects	        Регистрирани проекти
home	registered_users	Регистрирани потребители
home	most_active_this_week	Най-активни през тази седмица
home	gforge_statistics	GForge статистика
home	top_project_downloads	Най-популярни пакети
conf	content_encoding	UTF-8
conf	default_font	verdana,arial,helvetica,sans-serif
conf	language_code	bg
conf	language_id	20
conf	mail_charset	ISO-8859-5
news_utils	archive	Новини-архив
news_utils	nonews	Няма намерени новини
news_utils	readmore	Прочети&nbsp;повече/Коментирай
news_utils	submit	Изпрати новина

session	cannotinit	Грешка при създаването на сесия
session	deleted	Регистрацията е изтрита
session	invalidpasswd	Грешно име или парола
session	missingpasswd	Липсващо име или парола
session	notactive	Регистрацията не е активна
session	pending	Регистрацията е нерешена (предстои да бъде одобрена)
session	suspended	Регистрацията е преустановена

index	welcome	Добре дошли

account	title	Акаунт-предпочитания
account	updated	Персоналната Ви информация е обновена
account_change_email	desc	<p>Променянето на вашия email адрес изисква потвърждение от вашия нов email адрес, за да се уверим, че той е валиден.</p><p>Необходимо е да разполагаме с правилния email адрес на всеки потребител, поради нивото на достъп, което предоставяме, чрез този акаунт. Важно е да можем да ви открием в случай на публикации от друг потребител.</p>  <p>При изпращането на формуляра по долу ще бъде изпратен линк за потвърждение на новия email адрес. Смяната на email адреса ще се осъществи след като посетите този линк.</p>
account_change_email	invalid_email	Невалиден email адрес
account_change_email	mailsent	<p>Беше изпратено съобщение на новия адрес. Следвайте инструкциите в съобщението, за да осъществите смяната на адреса.</p><a href="/">[ Начало ]</a> 
account_change_email	message	Sledvashtoto syobshtenie e na kiriliza (izberete UTF8 encoding na browsera, za da go prochetete). Вие поискахте промяна на email адрес за GForge.\nМоля посетете следния линк, за да осъществите промяната на адреса:\n\n<http://$1/account/change_email-complete.php?ch=_$2>\n\n -- екипът на $1 
account_change_email	new_address	Нов Email адрес:
account_change_email	section	Акаунт-предпочитания
account_change_email	send_confirmation	Изпращане на потвърждение на новия адрес
account_change_email	subject	$1 Верификация
account_change_email	title	Смяна на Email адрес
account_change_email-complete	confirm	Здравейте, $1. Смяната на паролата е изпълнена. Вашият нов email адрес е: <strong>$2</strong>. Писмата изпратени до $3 ще бъдат препращани на този адрес.
account_change_email-complete	title	Осъществена смяна на email адрес
account_change_email_confirm	title	Потвърждаване смяната на email адрес
account_change_pw	confirmation	<h2>$1 Потвърждаване смяна на паролата</h2><p>Поздравления. Вие сменихте паролата си.</p>
account_change_pw	new_password	Нова парола (поне 6 символа)
account_change_pw	new_password_repeat	Нова парола (отново)
account_change_pw	not_valid_password	Трябва да въведете валидна парола (поне 6 символа)
account_change_pw	old_password	Стара парола
account_change_pw	old_password_incorrect	Грешна стара парола
account_change_pw	passwords_dont_match	Новите пароли не съвпадат.
account_change_pw	section	Акаунт-предпочитания
account_change_pw	title	Смяна на паролата
account_change_pw	update	Обновяване на парола
account_change_pw_changed	return_to	You should now $1 Return to UserPrefs $2.
account_change_pw_changed	title	Паролата сменена успешно
account_editsshkeys	section	Акаунт-предпочитания
account_editsshkeys	title	Редактиране на SCM/SSH споделени ключове
account_first	about_blurb	<p>Сега сте регистриран потребител на $1, online средата за разработване на проекти с Отворен Код.</p><p>Като регистриран потребител вие можете да участвате във всички активности на сайта. Можете да изпращате съобщения във форумите на проектите, да изпращате бъгове за софтура в $1, да се записвате като разработчик по проект, и дори да създадете свои собствени проекти.</p><p>Приятна работа със сайта, и ви молим за препоръки по това как можем да подобрим $1.</p><p>--екипът на $1.</p>
account_first	title	Добре дошли в $1
account_login	cookiewarn	Трябва да е активирана подръжката на бисквитки (cookies) от Вашия браузър.
account_login	deleted_account	<p>Вашият $1 акаунт беше изтрит от екипа на $1. Това може да се случи по две причини, 1) вие сте поискали вашият акаунт да бъде изтрит; or 2) Използвайки вашия акаунт е било извършено действие, което е било сметнато за нежелателно (например вие сте нарушили правилата за ползване на вашия акаунт) и вашият акаунт е бил изтрит поради административни причини. Ако имате въпроси по тази тема, моля изпратете <a href="/support/?group_id=1">запитване</a>.</p><p>Благодарим ви, <br><br>екипът на $1</p>
account_login	login	Вход
account_login	login_ssl	Вход (SSL режим)
account_login	loginname	Потребителско име:
account_login	lostpw	[Изгубена парола]
account_login	newaccount	[Нова регистрация]
account_login	passwd	Парола:
account_login	pending_account	<P>Вашият акаунт в момента очаква вашето потвърждение по email.		Посетете изпратения на email адреса ви линк, за да активирате акаунта си.		<P>Ако желаете да съобщението за потвърждаване да бъде изпратено отново на изпратения при регистрацията адрес, кликнете долу.		<P><A href="pending-resend.php?form_user=$1">[Повторно]</A>		<br><hr>		<p>
account_login	resend_pending	[Повторно изпращане на писмото за потвърждение на регистрация в системата]
account_login	resend_pending_directions	Въведете потребителско име и натиснете бутона 'Submit' за да Ви бъде изпратено отново писмото за потвърждение
account_login	sslnotice	<p><B><FONT COLOR="RED">You will be connected with an SSL server when you submit this form and your password will not be visible to other users.</FONT></B> <small style="font-size: x-small"> (If you wonder why very this page is not loaded via SSL, please read next paragraph. Thank you.) </small> <P> <B>Internet Explorer</B> users will have intermittent SSL problems, so they should leave SSL after login. Netscape users should stay in SSL mode permanently for maximum security.  Visit <A HREF="http://www.microsoft.com/">Microsoft</A> for more information about this known problem.  <P>
account_login	title	Влизане в сайта
account_login	usessl	Оставане в SSL режим след влизане
account_lostlogin	invalidconfirm	Невалиден хеш за потвърждение
account_lostlogin	newpasswd	Нова парола (поне 6 символа)
account_lostlogin	newpasswd2	Нова парола (отново)
account_lostlogin	notmatch	Новите пароли не съвпадат.
account_lostlogin	passwdchanged	<h2>Паролата е променена</h2><p>Поздравления, вие променихте паролата за своя акаунт. Сега можете да <a href="/account/login.php">влезете</a> в сайта.</p>
account_lostlogin	severalconfirm	This confirm hash exists more than once.
account_lostlogin	sixchars	Трябва да въведете валидна парола (поне 6 символа).
account_lostlogin	title	Потвърждаване за изгубена парола
account_lostlogin	update	Обновяване
account_lostlogin	welcome	<h2>Lost Password Login</h2><p>Welcome, $1. You may now change your password.</p>
account_lostpw	invalid_user	Invalid user
account_lostpw	message	Someone (presumably you) on the $3 site requested a\npassword change through email verification. If this was not you,\nignore this message and nothing will happen.\n\nIf you requested this verification, visit the following URL\nto change your password:\n\n<http://$1/account/lostlogin.php?ch=_$2>\n\n -- the $3 staff\n
account_lostpw	notify	<p>An email has been sent to the address you have on file. Follow the instructions in the email to change your account password.</p><p><a href="/">[ Home ]</a></p>
account_lostpw	sendhash	Send Lost PW Hash
account_lostpw	subject	$1 Verification
account_lostpw	title	Lost Your Password?
account_lostpw	user_dont_exist	Такъв потребител не съществува.
account_lostpw	warn	<p>Хей... да си изгубите паролата си е сериозна работа. Това може да наруши сигурността на вашия акаунт, проекти, както и на този сайт.</p><p>Clicking "Send Lost PW Hash" below will email a URL to the email address we have on file for you. In this URL is a 128-bit confirmation hash for your account. Visiting the URL will allow you to change your password online and login.</p>
account_options	change_email_address	Промяна на електронния пощенски адрес
account_options	change_password	Промяна на паролата
account_options	edit_skills_profile	Редактиране на Вашия профил
account_options	email_address		Адрес за електронна поща:
account_options	address		Адрес:
account_options	phone		Телефон:
account_options	fax		Факс:
account_options	title2		Титла:
account_options	language	Език:
account_options	login_name	Потребителско име:
account_options	member_since	Член от:
account_options	real_name	Истинско име:
account_options	firstname	Малко име:
account_options	lastname	Фамилия:
account_options	ccode	Държава:
account_options	themeid	Тема:
account_options	timezone	Времева зона:
account_options	title		Регистрация
account_options	user_id	Системен идентификатор на потребителя:
account_options	view_developer_profile	Преглед на Вашият профил
account_options	welcome		Добре дошли
account_register	Preferences	Предпочитания
account_register	communitymail	Получаване на допълнителни съобщения от общността.
account_register	congrat	<p>Поздравления. Вие се регистрирахте на $1.  <p> You are now being sent a confirmation email to verify your email address. Visiting the link sent to you in this email will activate your account.
account_register	siteupdate	Абонамент за новини по електронната поща касаещи нововъведения и промени в сайта<i> (Генерира малко трафик и включва известия имащи отношение към сигурността. Силно препоръчително е да се абонирате.)</i>
my	about_blurb	Вашата лична страница съдържа списък от грешки и задачи, които Вие сте създали, както и проектите в които участвате.
my	assigneditems	Грешки и заявки, по които трябва да работите
my	bookmarks	Моите Бележки
my	monitoredfile	Наблюдавани Файлови Модули
my	monitoredforum	Наблюдавани Форуми
my	no_bookmarks	Нямате в момента никакви запазени бележки.
my	no_monitored_filemodules	Не наблюдавате никакви файлове.
my	no_monitored_filemodules_details	<p>Ако наблюдавате файлове, ще Ви бъдат изпратени известия за промени по електронната поща, с хипервръзка към новия файл на нашия сървър.</p><p>Можете да наблюдавате файлове като посетите секцията &quot;Резюме&quot; на проект и изберете от check box файловата секция.</p>
my	no_monitored_forums	Не наблюдавате никакви форуми.
my	no_monitored_forums_details	<p>Ако наблюдавате форуми, ще Ви бъдат изпратени новите теми по електронната поща, с връзка към новите съобщения.</p><p>Можете да наблюдавате форуми, като изберете &quot;Monitor Forum&quot; във всеки дискусионен форум.</p>
my	no_open_tasks	Нямате отворени задачи.
my	no_projects	Вие не сте член на никой активен проект
my	no_tracker_items_assigned	Няма намерени.
my	no_tracker_items_submitted	Няма намерени.
my	pending_news_bytes	Предстоящи Нови Байтове
my	pending_news_bytes_1	Има един нов байт чакащ преглеждане
my	pending_news_bytes_2	Има $1 нови байтове чакащи преглеждане
my	pending_news_bytes_3	Щракни тук
my	pending_projects	Предстоящи Проекти
my	pending_projects_1	Има един предстоящ проект чакащ преглеждане
my	pending_projects_2	Има $1 ппредстоящи проекти чакащи преглеждане
my	pending_projects_3	Щракни тук
my	projects	Моите Проекти
my	submitteditems	Документирани от вас грешки и заявки
my	survey	Проучвания
my	survey_taken	Вие сте попълнили анкетата за разработчик
my	tasks	Задачи, които трябва да свършите
my	title	Лична Страница За: $1

survey	for_some_reason	По някава причина, груповото ID или обзорното ID не отговарят за тази страница
survey	high	Високо
survey	low	Ниско
survey	permission_denied	Достъпът е отказан.
survey	survey_not_found	Няма намерени.
survey	survey_privacy	Survey Privacy
survey	title	Обзор

group	short_svn	SVN
group	long_svn	Subversion хранилище
project_home	svn_commits	<strong>$1</strong> commits, <strong>$2</strong> adds
project_admin_editgroupinfo	use_svn	Use Subversion
project_admin	svn_server	Group Subversion server:&nbsp;


scm_index	anoncvs	<p><b>Anonymous SCM Access</b></p><p>This project's SCM repository can be checked out through anonymous (pserver) SCM with the following instruction set. The module you wish to check out must be specified as the <i>modulename</i>. When prompted for a password for <i>anonymous</i>, simply press the Enter key.</p>
scm_index	anoncvsup	Updates from within the module's directory do not need the -d parameter.
scm_index	browseit	Разглеждане на SVN хранилището
scm_index	browsetree	<hr /><b>Browse the SCM Tree</b><p>Browsing the SCM tree gives you a great view into the current status of this project's code. You may also view the complete histories of any file in the repository.</p>
scm_index	cvs_repository	SCM хранилище
scm_index	devcvs	<p><b>Developer SCM Access via SSH</b></p><p>Only project developers can access the SCM tree via this method. SSH1 must be installed on your client machine. Substitute <i>modulename</i> and <i>developername</i> with the proper values. Enter your site password when prompted.</p>
scm_index	developer_commits_adds	Developer (30 day/Commits) (30 day/Adds)
scm_index	developername	developername
scm_index	error_only_projects_can_use_cvs	Error, Only Projects Can Use SCM
scm_index	error_this_project_has_turned_off	Error This Project Has Turned Off SCM
scm_index	history	Repository History
scm_index	modulename	modulename
scm_index	nohistory	This project has no SCM history.
scm_index	section	Project: $1
scm_index	title	SCM



scm_index	browsesvn	Browse the SVN Tree
scm_index	browsesvninit	<HR><B>Browse the SVN Tree</B> <P>Разлистването на SVN дървото Ви дава възможност да добиете пълна представа за текущото състояние на сорс кода на проекта. Също можете да разгледате пълната история на всеки файл и директория в хранилището.
scm_index	svnaccess	<P><B>Достъп до SVN хранилището за разработчици и анонимни потребители</B> <P>Съдържанието на SVN хранилището за този проект може да бъде достъпвано с произволен Subversion клиент. За повече информация можете да посетите <A HREF="http://subversion.tigris.org">страницата на проекта Subversion</A>.
scm_index	svnrepo	Достъп до хранилището по HTTP
scm_index	svnexample	<P><B>Пример</B> <P>Съдържанието на SVN хранилището за този проект може да бъде изтеглено с командата svn (стандартния Subversion клиент) по следния начин:
scm_index	svn_commit_email	 <HR><B>SVN Commit Email</B><P>
scm_index	svn_commit_email_explain	 If there is Subversion commit, we can send email to the SVN commit email address. It's good idea to add a mailing list such as svn-commit@gforge.org, and set the address. If you want to delete the address, make it blank.

forum	choose	<p>Choose a forum and you can browse, search, and post messages.<p>
forum	error_forum_not_found	Форумът не е намерен
forum	error_invalid_group_forum_id	$1:: Invalid group_forum_id
forum	error_no_forums_found	Няма намерени форуми за $1
forum	error_no_valid_forum_object	$1:: No Valid Forum Object
forum	error_no_valid_group_object	Forum:: No Valid Group Object
forum	forum	Форум
forum	forums_for	Форуми за $1
forum	html	HTML таговете ще се визуализират във вашето съобщение като текст
forum	section	Проект: $1
forum	title	Форуми
forum	check_upload	Check to Upload & Attach File
forum_admin	add_forum	Добавяне на форум
forum_admin	delete_message	Изтриване на съобщение
forum_admin	section	Проект: $1 
forum_admin	title	Форуми: Администрация
forum_admin	update_forum	Обновяване на информацията за форума
forum_admin_addforum	add_forum	Добавяне на форума
forum_admin_addforum	allow_anonymous	Допускане на анонимни съобщения
forum_admin_addforum	allow_attach	Допускане на прикачени файлове
forum_admin_addforum	email_posts	Изпращане по електронна поща на всички съобщения до:
forum_admin_addforum	existing_forums	Съществуващи форуми
forum_admin_addforum	forum_created	Форумът е създаден успешно
forum_admin_addforum	forum_description	Описание
forum_admin_addforum	forum_name	Име на форума
forum_admin_addforum	is_public	Форума е публичен
forum_admin_addforum	section	Администрация на форума
forum_admin_addforum	title	Добавяне на форум
forum_admin_changestatus	change_status	Промяна на статуса на форума
forum_admin_changestatus	forum	Форум
forum_admin_changestatus	intro	Оттук можете да настройвате параметрите на форума. Забележете, че частните форуми могат да бъдат разглеждани само от членовете на Вашия проект.
forum_admin_changestatus	no_forums_found	Няма намерени форуми
forum_admin_changestatus	section	Администрация на форум
forum_admin_changestatus	status	Статус
forum_admin_changestatus	title	Промяна на статуса на форум
forum_admin_changestatus	update_successful	Информацията за форума е обновена успешно
forum_admin_delete	section	Администрация на форума
forum_admin_delete	title	Изтриване на форума
forum_admin_delete_message	section	Администрация на форума
forum_admin_delete_message	title	Изтриване на съобщение
forum_admin_delete_message	enter_message_id	Въведете идентификатор на съобщението
forum_admin_delete_message	warning	ПРЕДУПРЕЖДЕНИЕ! Вие сте на път да изтриете съобщение и всички свързани с него други съобщения.
forum_admin_delete_messages	messages_deleted	$1 съобщение(я) са изтрити
forum_common	error_adding_forum	Грешка при добавянето на форум
forum_common	error_min_desc_length	Описанието на форума трябва да бъде поне 10 символа
forum_common	error_min_name_length	Името на форума трябва да бъде поне 3 символа
forum_common	error_save_when_logged_in	You Can Only Save Your Place If You Are Logged In
forum_common	error_set_monitor	You can Only Monitor If You Are Logged In
forum_common	error_unable_to_add_monitor	Unable To Add Monitor
forum_common	welcome_to	Welcome to $1
forum_common_forum	error_save_place	Forum::savePlace() 
forum_common_forummessage	error_cannot_update_master_thread	Couldn't Update Master Thread parent with current time
forum_common_forummessage	error_cannot_update_parent	Could Not Update Parent
forum_common_forummessage	error_get_message_id	ForumMessage::create() Unable to get new message id
forum_common_forummessage	error_getting_next_thread	Getting next thread_id failed
forum_common_forummessage	error_group_forum_id	Group_forum_id in db result does not match Forum Object
forum_common_forummessage	error_invalid_message_id	ForumMessage::fetchData() Invalid MessageID
forum_common_forummessage	error_no_valid_parent_message	ForumMessage::create() No Valid ParentMessage Object
forum_common_forummessage	error_not_logged	Must Be Logged In to Post Messages
forum_common_forummessage	error_posting_failed	ForumMessage::create() Posting Failed 
forum_common_forummessage	error_required_fields	Must Include A Message Body And Subject
forum_common_forummessage	forum_message	Forum Message
forum_common_forummessage	no_valid_forum_object	ForumMessage:: No Valid Forum Object
forum_errors	error_determining_forum_id	Error Determining forum_id
forum_errors	error_getting_forum	Error getting Forum
forum_forum	author	Автор
forum_forum	changeview	Промяна на изгледа
forum_forum	date	Дата
forum_forum	flat	Плосък изглед
forum_forum	forum	Форум
forum_forum	lastpost	Последен пост
forum_forum	nested	Вложен изглед
forum_forum	next_messages	Следващи съобщения
forum_forum	no_forum_chosen	Няма избран форум
forum_forum	posts	Постове
forum_forum	postsuccess	Message Posted Successfully
forum_forum	previous_messages	Previous Messages
forum_forum	replies	Отговори
forum_forum	section	Проект: $1 
forum_forum	show	Покажи
forum_forum	thread	Нишка
forum_forum	threaded	Threaded
forum_forum	threads	Нишки
forum_forum	title	Форуми: Преглед на форум
forum_forum	topic	Тема
forum_forum	topicstarter	Topic Starter
forum_forum	views	Изгледи
forum_forum	ultimate	Ultimate
forum_forum_thread	section	Форуми
forum_forum_thread	title	View Thread
forum_message	by	ОТ
forum_message	date	ДАТА
forum_message	message	Съобщение
forum_message	message_not_found_body	Това съобщение вече не съществува
forum_message	message_not_found_title	Съобщението не е намерено
forum_message	msg	Post A Message To This Thread:
forum_message	must_choose_message_body	Първо трябва да изберете съобщение
forum_message	must_choose_message_title	Първо трябва да изберете съобщение
forum_message	post_followup	Post a followup to this message
forum_message	receive_followups	Receive followups via email
forum_message	section	Форуми
forum_message	subject	SUBJECT
forum_message	thread	Start New Thread
forum_message	thread_view	Thread View
forum_message	title	View Message
forum_monitor	activated	Forum monitoring started
forum_monitor	deactivated	Forum monitoring deactivated
forum_save	saved	Forum Position Saved. New messages will be highlighted when you return
forum_utils	added	Форумът е добавен
forum_utils	admin	Администриране
forum_utils	anonymously	Анонимно
forum_utils	author	Автор
forum_utils	brokenthread	Broken Thread
forum_utils	by	От::
forum_utils	couldpostif	You could post if you were $1 logged in $2
forum_utils	date	Дата
forum_utils	discussionforum	Дискусионни форуми:
forum_utils	doublepost	You appear to be double-posting this message, since it has the same subject and followup information as a prior post.
forum_utils	error	Грешка!
forum_utils	erroradd	Грешка при добавянето на форум
forum_utils	errorfollowup	Опитвате се да продължите тема, която не съществува.
forum_utils	errorfollowup2	No followup ID present when trying to post to an existing thread.
forum_utils	errorinsert	Failed to get insertid()
forum_utils	errormaster	Couldn't Update Master Thread parent with current time
forum_utils	errorparent	Could Not Update Parent
forum_utils	errorpost	Posting Failed
forum_utils	feedbacklogin	You could post if you were logged in
forum_utils	htmltag	HTML tags will display in your post as text
forum_utils	latest	Latest News
forum_utils	loggedin	logged in
forum_utils	mailmonitor	\nRead and respond to this message at: \n$1\nBy: $2 \n\n $3\n\n______________________________________________________________________\nYou are receiving this email because you elected to monitor this forum.\nTo stop monitoring this forum, login to $4 \nand visit: $5
forum_utils	mailnotsent	email not sent - people monitoring
forum_utils	mailnotsent2	email not sent - no one monitoring
forum_utils	mailsent	email sent - people monitoring
forum_utils	message	Съобщения:
forum_utils	monitor	Monitor Forum
forum_utils	mustinclude	Must include a message body and subject
forum_utils	news	Новини
forum_utils	nextfailed	Getting next thread_id failed
forum_utils	noid	Trying to post without a forum ID
forum_utils	nonewsitem	Грешка - тази новина не е намерена
forum_utils	notfound	Не е намерено
forum_utils	postanon	Вие публикувате анонимно защото не сте
forum_utils	postcomment	Изпращане на коментар
forum_utils	posted	Съобщението е изпратено
forum_utils	postedby	Изпратена от
forum_utils	reply	reply
forum_utils	attach	attach
forum_utils	saveplace	Save Place
forum_utils	stopmonitor	Stop Monitoring
forum_utils	subject	Тема:
forum_utils	summary	Резюме
forum_utils	thread	Нишка

news	choose	<P>Изберете новина, след което ще можете да разглежате, търсите и създавате коментари.<P>
news	noitems	Няма намерени бележки
news	nonews	Няма намерени новини
news	nonewsfor	Няма намерени новини за $1
news	section	Проект: $1
news	title	Новини
news_admin	noqueued	No Queued Items Found For Project
news_admin	permdenied	You have to be an admin on the project you are editing or a member of the $1 News team.
news_admin	queued	These News Items Were Submitted For Project
news_admin	section	Новини
news_admin	title	Администриране на новини
news_main	title	Новини
news_submit	cannot	Само администраторите на проект могат да създават новини за него
news_submit	cannotadmin	Submitting news from the news group is not allowed.
news_submit	details	Тяло
news_submit	errorboth	Грешка - и двете полета <I>тема</i> и <i>тяло</i> са задължителни
news_submit	errorinsert	Грешка при добавянето
news_submit	forproject	За проект
news_submit	newsadded	Новината е добавена.
news_submit	post_blurb	Оттук можете да публикувате новини и съобщения от какви специалисти се нуждаете за Вашия проект. <P>Всички изпратени съобщения ще се появят веднага на страницата с резюмето за проекта. Съобщения, които представляват интерес за цялата общност have to be approved by a member of the $1 news team before they will appear on the $1 home page.<P>You may include URLs, but not HTML in your submissions.<P>URLs that start with http:// are made clickable.
news_submit	section	Новини
news_submit	subject	Тема
news_submit	submit	Публикуване
news_submit	title	Изпращане на новина за $1
news_utils	archive	Архив на новини
news_utils	nonews	Няма намерени новини
news_utils	readmore	Read&nbsp;More/Comment
news_utils	submit	Изпращане на новини
account_register	emailaddr	Електронен пощенски адрес:<span><font color="red">*</font></span> <BR><I>Адресът ще бъде проверен за валидност преди активирането на акаунта. Той няма да се визуализира на сайта. </I>
account_register	err_badinsert	Insert Failed 
account_register	theme	Тема
account_register	err_theme	Темата е задължително поле
account_register	err_email	Невалиден ел. пощенски адрес
account_register	err_jabber	Invalid Jabber Address
account_register	err_mailexist	Потребител с такъв електронен адрес вече е регистриран.
account_register	err_passwd	Не е указана парола
account_register	err_passwd2	Паролата и потвърждението и не съвпадат
account_register	err_passwd3	Грешна парола
account_register	err_passwd7	Потребителското име е заето
account_register	err_realname	Името е задължително поле
account_register	err_firstname	Името е задължително поле
account_register	err_lastname	Фамилията е задължително поле
account_register	err_unixname	Невалиден UNIX идентификатор. 
account_register	err_userexist	Това потребителско име вече е заето.
account_register	err_username	Потребителското име е задължително поле
account_register	jabberaddr	Jabber Address:
account_register	jabberonly	Send auto-generated notices only to my Jabber address
account_register	language	Език:
account_register	loginname	Потребителско име:
account_register	mandatory	Полетата отбелязани с $1 за задължителни.
account_register	message_body	Благодарим Ви, че се регистрирахте на портала на $4. Вашият акаунт е създаден успешно. За да завършите регистрацията посетете следната страница: \n\n<http://$2/account/verify.php?confirm_hash=_$3>\n\nhttp://$2/account/verify.php?confirm_hash=_$3\n\nПриятно използване на портала.\n\n-- Екипът на $4\n
account_register	message_header	$1 регистрация
account_register	partecipate_peer_ratings	Желая да участвувам в системата за взаимно оценяване на уменията между потребителите на портала. <i>(Това Ви дава възможност да оценявате уменията на другите потребители, както и те Вашите). Повече информация можете да намерите на Вашата персонална $1 страница </a>, ако сте активирали оценяването</i>.
account_register	password	Парола (минимум 6 символа):
account_register	password2	Парола (потвърждение):
account_register	realname	Пълно име:
account_register	firstname	Собствено име:
account_register	lastname	Фамилия:
account_register	ccode	Държава:
account_register	register	Регистриране
account_register	remember_me	"Remember me". <i>(Allows to access your $1 personal page</a> without being logged in. You will still need to login explicitly before making any changes.)</i>
account_register	reset	Reset Changes
account_register	resend_pending	[Повторно изпращане на писмото за активиране на акаунт]
account_register	timezone	Timezone:
account_register	title	Нова регистрация
account_register	update	Обновяване
account_shell	autorized_keys	SCM/SSH Shared Authorized Keys
account_shell	edit_keys	Edit Keys
account_shell	shell_box	Shell box
account_shell	title	Shell Account Information
account_unsubscribe	all_mailings	all $1 mailings and notifications
account_unsubscribe	site_mailings	$1 site mailings
account_verify	accessdenied	Access denied
account_verify	accountactive	Account already active.
account_verify	cannotactivate	Could not activate account
account_verify	cannotconfirm	Cannot confirm account identity - invalid confirmation hash (or login name)
account_verify	erroractivate	Error while activiting account
account_verify	invalidcred	Credentials you entered do not correspond to valid account.
account_verify	invalidop	Invalid operation
account_verify	invalidparam	Invalid parameter
